               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.020643,             0.01192,           0.0011667,             0.92993,             0.89376,             0.93234,             0.66774,            0.023509,            0.011212,           0.0034522,           0.0059162,           0.0059162,           0.0059162
                  78,            0.020794,            0.012066,           0.0012485,             0.93633,             0.88847,             0.93174,             0.66498,             0.02351,            0.011194,           0.0036834,           0.0058325,           0.0058325,           0.0058325
                  79,            0.020948,            0.012045,           0.0011995,             0.95744,              0.8756,             0.93299,               0.664,            0.023471,            0.011281,           0.0037015,           0.0057488,           0.0057488,           0.0057488
                  80,            0.020231,            0.011735,           0.0010303,             0.94432,              0.8845,             0.93461,             0.66687,            0.023416,             0.01119,           0.0037647,           0.0056653,           0.0056653,           0.0056653
                  81,            0.020282,            0.011863,           0.0010736,             0.94945,             0.88563,             0.93358,             0.66852,            0.023225,            0.011258,           0.0035184,           0.0055819,           0.0055819,           0.0055819
                  82,            0.020218,            0.011593,           0.0011929,             0.94162,             0.88569,             0.93046,             0.66511,            0.023433,            0.011342,           0.0034615,           0.0054987,           0.0054987,           0.0054987
                  83,            0.020245,            0.011727,           0.0011303,             0.93632,             0.89279,             0.93105,             0.66537,            0.023479,            0.011366,            0.003269,           0.0054157,           0.0054157,           0.0054157
                  84,            0.019961,            0.011515,           0.0011315,             0.94264,             0.88794,              0.9328,             0.66447,            0.023551,            0.011419,           0.0030962,           0.0053329,           0.0053329,           0.0053329
                  85,             0.01955,            0.011356,           0.0012595,             0.94941,             0.88507,              0.9343,             0.66586,            0.023409,            0.011355,           0.0030771,           0.0052505,           0.0052505,           0.0052505
                  86,             0.01957,             0.01132,            0.001136,             0.94336,               0.889,             0.93286,              0.6678,            0.023374,            0.011348,              0.0031,           0.0051684,           0.0051684,           0.0051684
                  87,            0.019768,            0.011246,           0.0010996,             0.94795,             0.88335,             0.93513,             0.66882,            0.023424,            0.011385,           0.0029789,           0.0050866,           0.0050866,           0.0050866
                  88,            0.019444,            0.011323,           0.0011528,             0.95253,             0.87569,             0.93379,             0.66928,            0.023494,            0.011463,           0.0030919,           0.0050052,           0.0050052,           0.0050052
                  89,            0.019347,            0.011269,           0.0011092,             0.94043,             0.88974,             0.93287,             0.66628,            0.023578,             0.01147,           0.0030914,           0.0049243,           0.0049243,           0.0049243
                  90,              0.0195,            0.011212,            0.001005,             0.95133,             0.87681,             0.93101,             0.66566,            0.023599,            0.011466,           0.0032746,           0.0048439,           0.0048439,           0.0048439
                  91,            0.019031,            0.010853,            0.001127,             0.94421,              0.8795,             0.92977,              0.6658,            0.023653,            0.011511,           0.0032334,           0.0047639,           0.0047639,           0.0047639
                  92,            0.018848,            0.011047,           0.0010455,             0.94127,             0.87883,             0.92995,              0.6645,            0.023652,            0.011535,           0.0033442,           0.0046845,           0.0046845,           0.0046845
                  93,            0.018991,            0.011077,          0.00098247,              0.9264,              0.8934,             0.93027,             0.66415,            0.023709,            0.011496,           0.0033769,           0.0046057,           0.0046057,           0.0046057
                  94,            0.018877,            0.011019,            0.001034,             0.94748,             0.87146,             0.93173,             0.66499,            0.023631,            0.011535,           0.0033789,           0.0045275,           0.0045275,           0.0045275
                  95,            0.018753,            0.010861,           0.0010184,             0.93617,             0.88388,             0.93102,             0.66575,            0.023639,            0.011609,           0.0033818,           0.0044499,           0.0044499,           0.0044499
                  96,            0.018734,            0.010936,          0.00092547,             0.93133,             0.88736,             0.93133,             0.66688,            0.023604,            0.011616,           0.0033848,           0.0043731,           0.0043731,           0.0043731
                  97,            0.018324,            0.010927,          0.00090268,             0.92768,             0.88907,                0.93,             0.66588,            0.023609,            0.011605,           0.0033796,           0.0042969,           0.0042969,           0.0042969
                  98,             0.01846,            0.010702,          0.00089603,             0.93261,             0.88745,             0.93052,             0.66612,            0.023581,            0.011645,           0.0033555,           0.0042215,           0.0042215,           0.0042215
